Track,ISRC,Spotify Track Ids,Artist(s),Spotify Artist Id(s),Album(s),UPC,Spotify Album Ids,Release Date,Record Label,Country,Days on Chart,Chart Type,Chart Cycle,Peak Position,Peak Date,Latest Position,Position Change,Latest Charting Date,Historical Positions,Spotify Track Link,Spotify Album Link,Spotify Artist Link
Детство,RUA0G1800601,284ABgw7KmrZj81h4kIc3l,Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,Я люблю тебя,193483014043,7L6c2gIdfB9f9B6GMkuWxD,2018-09-27,RDS Records,Global,6,viral,daily,11,2019-03-11,11,1,2019-03-16,"11, 14, 14, 13, 12, 11",https://open.spotify.com/track/284ABgw7KmrZj81h4kIc3l,https://open.spotify.com/album/7L6c2gIdfB9f9B6GMkuWxD,https://open.spotify.com/artist/0a3zDmrvmZcORfPeONPvfL
Piece Of Your Heart,DEUM71807719,5p1ex0pXv6jSPJ6QbumQpD,"MEDUZA, Goodboys","0xRXCcSX89eobfrshSVdyu, 2nm38smINjms1LtczR0Cei",Piece Of Your Heart,602577400704,0agqVZjOqVtqHkq3pTFPXb,2019-01-31,Virgin,Global,2,viral,daily,12,2019-03-16,12,2,2019-03-16,"14, 12",https://open.spotify.com/track/5p1ex0pXv6jSPJ6QbumQpD,https://open.spotify.com/album/0agqVZjOqVtqHkq3pTFPXb,https://open.spotify.com/artist/0xRXCcSX89eobfrshSVdyu
11 Minutes (with Halsey feat. Travis Barker),USUG11800795,4mGdjNMo0RonTlOEb7cYg4,"YUNGBLUD, Halsey, Travis Barker","6Ad91Jof8Niiw0lGLLi3NW, 26VFTg2z8YR0cCuwLzESi2, 4exLIFE8sISLr28sqG1qNX",11 Minutes (with Halsey feat. Travis Barker),602577440595,7jY0r3cjoRY6M3IqRb1m7H,2019-02-13,"Locomotion Recordings, Geffen Records",Global,7,viral,daily,10,2019-03-10,13,0,2019-03-16,"10, 12, 11, 12, 12, 13, 13",https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4,https://open.spotify.com/album/7jY0r3cjoRY6M3IqRb1m7H,https://open.spotify.com/artist/6Ad91Jof8Niiw0lGLLi3NW
Murder On My Mind,QMCE31801827,7eBqSVxrzQZtK2mmgRG6lC,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,I AM YOU,814908026372,7naY6j4wcgUxfHB98G79CW,2018-08-02,,Global,37,viral,daily,7,2019-03-01,14,-3,2019-03-16,"43, 42, 35, 40, 47, 50, 34, 24, 18, 16, 14, 13, 15, 15, 14, 13, 10, 9, 9, 9, 8, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 9, 9, 10, 11, 11, 14",https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,https://open.spotify.com/album/7naY6j4wcgUxfHB98G79CW,https://open.spotify.com/artist/1cNDP5yjU5vjeR8qMf4grg
Mixed Personalities (feat. Kanye West),QMCE31902201,6vWEAOUSxohKxhp0K1BsxL,"YNW Melly, Kanye West","1cNDP5yjU5vjeR8qMf4grg, 5K4W6rqBFWDnAN6FQUkS6x",We All Shine,814908027393,09b9NC1oQbYaHcacgXn66k,2019-01-17,,Global,35,viral,daily,13,2019-03-08,15,1,2019-03-16,"28, 29, 30, 28, 27, 22, 21, 24, 23, 23, 25, 25, 25, 22, 22, 21, 21, 21, 21, 21, 20, 16, 15, 14, 14, 15, 13, 15, 21, 22, 21, 20, 17, 16, 15",https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL,https://open.spotify.com/album/09b9NC1oQbYaHcacgXn66k,https://open.spotify.com/artist/1cNDP5yjU5vjeR8qMf4grg
Pure Water (with Migos),USUM71823137,63cd4JkwGgYJrbOizbfmsp,"Mustard, Migos","0YinUQ50QDB7ZxSCLyQ40k, 6oMuImdp5ZcFhWP0ESe6mG",Pure Water (with Migos),602577377846,1ypNy6o0C2ZbuuPPYkavVl,2019-01-15,"10 Summers, Interscope PS",Global,35,viral,daily,3,2019-02-17,16,3,2019-03-16,"5, 5, 5, 5, 4, 4, 4, 3, 4, 4, 4, 5, 5, 7, 5, 5, 6, 6, 7, 8, 8, 11, 11, 11, 10, 11, 11, 11, 20, 19, 18, 17, 16, 19, 16",https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,https://open.spotify.com/album/1ypNy6o0C2ZbuuPPYkavVl,https://open.spotify.com/artist/0YinUQ50QDB7ZxSCLyQ40k
Worth It,USUM71821752,4XiGKQqbmnMVxDzUj6j3f2,YK Osiris,7meyrw7Or5DwteYxDJrkCM,Worth It,602577381607,6xxdRevqix78TFbWJpO2AO,2019-01-24,Def Jam Recordings,Global,14,viral,daily,13,2019-03-09,17,-2,2019-03-16,"23, 21, 18, 17, 17, 14, 13, 16, 17, 15, 15, 15, 15, 17",https://open.spotify.com/track/4XiGKQqbmnMVxDzUj6j3f2,https://open.spotify.com/album/6xxdRevqix78TFbWJpO2AO,https://open.spotify.com/artist/7meyrw7Or5DwteYxDJrkCM
Dissolve,USAT21704522,7pBrj5rt4SSxXwFKOyZfHR,Absofacto,7gAYvcQFmAruyvwGjxrSUr,Thousand Peaces,075679886712,79mdn7airf7jJw1dhV1PCI,2017-11-02,Absofacto,Global,15,viral,daily,18,2019-03-16,18,2,2019-03-16,"34, 44, 45, 45, 37, 33, 32, 30, 27, 26, 24, 22, 22, 20, 18",https://open.spotify.com/track/7pBrj5rt4SSxXwFKOyZfHR,https://open.spotify.com/album/79mdn7airf7jJw1dhV1PCI,https://open.spotify.com/artist/7gAYvcQFmAruyvwGjxrSUr
Please Me,USAT21811659,0PG9fbaaHFHfre2gUVo7AN,"Cardi B, Bruno Mars","4kYSro6naA4h99UJvo89HB, 0du5cEVh5yTK9QJze8zA0C",Please Me,075679853653,5a4sJJ3qjn6hqRsvm0Veso,2019-02-14,"Atlantic, KSR",Global,7,viral,daily,12,2019-03-10,19,-2,2019-03-16,"12, 14, 13, 13, 14, 17, 19",https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN,https://open.spotify.com/album/5a4sJJ3qjn6hqRsvm0Veso,https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB
"Kapit - From ""Alone / Together""",NOHEK1904010,02GtNoUv85fOPEaCTlpYzr,Armi Millare,7bT6URJrhJleZUfkrysELD,"Kapit (From ""Alone / Together"")",7072563011703,007PEQI4gziBAgnjbEuXWG,2019-02-12,daWorks Records,Global,7,viral,daily,14,2019-03-10,20,-2,2019-03-16,"14, 16, 17, 16, 18, 18, 20",https://open.spotify.com/track/02GtNoUv85fOPEaCTlpYzr,https://open.spotify.com/album/007PEQI4gziBAgnjbEuXWG,https://open.spotify.com/artist/7bT6URJrhJleZUfkrysELD
TWIT,KRA381900397,6qyz1KOlGJsKYJ4ZsRmRSD,Hwa Sa,7bmYpVgQub656uNTu6qGNQ,TWIT,8804775099342,6KL4s0Y6Ijcj0QP1Nm1EVF,2019-02-12,"RBW, Inc",Global,7,viral,daily,18,2019-03-10,21,0,2019-03-16,"18, 20, 20, 21, 21, 21, 21",https://open.spotify.com/track/6qyz1KOlGJsKYJ4ZsRmRSD,https://open.spotify.com/album/6KL4s0Y6Ijcj0QP1Nm1EVF,https://open.spotify.com/artist/7bmYpVgQub656uNTu6qGNQ
Shotta Flow,QZ85M1903991,4dAMdQ6g4kGmnc1MDHsg77,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Shotta Flow,191998138551,4O6AXVdjqdJiGYlEm7fz0o,2019-01-16,No Love Entertainment,Global,35,viral,daily,2,2019-02-13,22,0,2019-03-16,"3, 3, 3, 2, 2, 2, 2, 4, 3, 3, 2, 2, 2, 3, 9, 10, 10, 11, 12, 14, 14, 15, 13, 13, 12, 12, 12, 12, 19, 18, 19, 19, 19, 22, 22",https://open.spotify.com/track/4dAMdQ6g4kGmnc1MDHsg77,https://open.spotify.com/album/4O6AXVdjqdJiGYlEm7fz0o,https://open.spotify.com/artist/0ErzCpIMyLcjPiwT4elrtZ
Act Up,USUG11802247,4eIT2gZ0WZyJpgfmoD6saJ,City Girls,37hAfseJWi0G3Scife12Il,Girl Code,602577328282,45TU0GIOO5AxFoiOPk08i1,2018-11-15,"Quality Control Music, Motown Records, Capitol Records",Global,24,viral,daily,23,2019-03-12,23,0,2019-03-16,"47, 44, 44, 47, 47, 47, 47, 47, 46, 49, 45, 43, 36, 31, 31, 29, 27, 24, 24, 23, 23, 23, 23, 23",https://open.spotify.com/track/4eIT2gZ0WZyJpgfmoD6saJ,https://open.spotify.com/album/45TU0GIOO5AxFoiOPk08i1,https://open.spotify.com/artist/37hAfseJWi0G3Scife12Il
