Track,ISRC,Spotify Track Ids,Artist(s),Spotify Artist Id(s),Album(s),UPC,Spotify Album Ids,Release Date,Record Label,Country,Days on Chart,Chart Type,Chart Cycle,Peak Position,Peak Date,Latest Position,Position Change,Latest Charting Date,Historical Positions,Spotify Track Link,Spotify Album Link,Spotify Artist Link
Bestie (feat. Kodak Black),USAT21813077,0jtTDKt1FRTnKbWtWSGLoy,"Bhad Bhabie, Kodak Black","7DuTB6wdzqFJGFLSH17k8e, 46SHBwWsqBkxI7EeeBEQG7",Bestie (feat. Kodak Black),075679855268,5quBSagpG6fUlQ4HIP5vxc,2019-01-30,B.H.A.D. Music,Australia,21,viral,daily,18,2019-03-02,31,-1,2019-03-16,"36, 27, 24, 22, 22, 21, 18, 21, 21, 23, 23, 24, 24, 26, 29, 31, 29, 30, 30, 30, 31",https://open.spotify.com/track/0jtTDKt1FRTnKbWtWSGLoy,https://open.spotify.com/album/5quBSagpG6fUlQ4HIP5vxc,https://open.spotify.com/artist/7DuTB6wdzqFJGFLSH17k8e
Istanbul,USEE10181576,63vL5oxWrlvaJ0ayNaQnbX,They Might Be Giants,6zB02lwP6L6ZH32nggQiJT,Flood,075596090766,7FwAtuhhWivxvK4aPgyyUD,1990-01-01,Rhino,Australia,23,viral,daily,22,2019-02-24,32,-1,2019-03-16,"44, 30, 22, 23, 27, 26, 25, 30, 30, 31, 29, 29, 29, 31, 30, 29, 28, 29, 30, 32, 31, 31, 32",https://open.spotify.com/track/63vL5oxWrlvaJ0ayNaQnbX,https://open.spotify.com/album/7FwAtuhhWivxvK4aPgyyUD,https://open.spotify.com/artist/6zB02lwP6L6ZH32nggQiJT
Drunken Sailor,CA6BE1200020,5Su5ILFp6U83cnIXwfmlC5,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,Drunken Sailor,654367029404,5iyQuCFO65zkVXaqtBYFuo,2012-02-21,Rover Records,Australia,5,viral,daily,33,2019-03-16,33,3,2019-03-16,"36, 36, 44, 36, 33",https://open.spotify.com/track/5Su5ILFp6U83cnIXwfmlC5,https://open.spotify.com/album/5iyQuCFO65zkVXaqtBYFuo,https://open.spotify.com/artist/0tkKwWigaADLYB9HdFCjYo
Big And Chunky,USUM70840966,5wlaCEfi6Zc6PVlZgoCXV9,will.i.am,085pc2PYOi8bGKj0PNjekA,Madagascar: Escape 2 Africa - Music From The Motion Picture,602517884595,53HHf3pv5FGl41cIa8iJQU,2008-11-02,Interscope,Australia,7,viral,daily,33,2019-03-15,34,-1,2019-03-16,"50, 47, 48, 48, 37, 33, 34",https://open.spotify.com/track/5wlaCEfi6Zc6PVlZgoCXV9,https://open.spotify.com/album/53HHf3pv5FGl41cIa8iJQU,https://open.spotify.com/artist/085pc2PYOi8bGKj0PNjekA
Boys Will Be Bugs,USL4Q1849675,67EUBsc4qosGOVbaYy6TeX,Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,Animal Kingdom: Comet,193428261891,1PKhm3GDDgOUwFbMEkZ89R,2018-12-10,Oat Milk,Australia,13,viral,daily,32,2019-03-15,35,-3,2019-03-16,"42, 41, 40, 41, 45, 44, 44, 48, 49, 35, 34, 32, 35",https://open.spotify.com/track/67EUBsc4qosGOVbaYy6TeX,https://open.spotify.com/album/1PKhm3GDDgOUwFbMEkZ89R,https://open.spotify.com/artist/2hR4h1Cao2ueuI7Cx9c7V8
Faucet Failure,USUM71820924,1ThmUihH9dF8EV08ku5AXN,Ski Mask the Slump God,2rhFzFmezpnW82MNqEKVry,STOKELEY,602577359866,0z0z4DcXhHiobX5ZKAw8Qn,2018-11-29,Republic Records,Australia,68,viral,daily,15,2019-02-02,36,1,2019-03-16,"31, 29, 32, 39, 37, 36, 37, 43, 41, 41, 42, 44, 43, 44, 49, 42, 48, 45, 47, 49, 46, 44, 41, 47, 46, 43, 46, 44, 35, 24, 22, 15, 20, 22, 18, 17, 20, 20, 20, 23, 23, 24, 25, 26, 29, 33, 39, 39, 44, 47, 46, 47, 45, 42, 38, 41, 43, 45, 44, 47, 48, 47, 48, 45, 42, 38, 37, 36",https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN,https://open.spotify.com/album/0z0z4DcXhHiobX5ZKAw8Qn,https://open.spotify.com/artist/2rhFzFmezpnW82MNqEKVry
I Can't Have Nice Things,GBKPL1935237,4CnBuBzStNaCMuX6UlA7LB,CXLOE,6M25WWmNO7wK1DnKmd3z6R,I Can't Have Nice Things,5054526169517,33DorE9JKbKwACGMhLNFMR,2019-02-14,"EX EX, YOUNG&VICIOUS",Australia,7,viral,daily,34,2019-03-10,37,7,2019-03-16,"34, 34, 35, 46, 46, 44, 37",https://open.spotify.com/track/4CnBuBzStNaCMuX6UlA7LB,https://open.spotify.com/album/33DorE9JKbKwACGMhLNFMR,https://open.spotify.com/artist/6M25WWmNO7wK1DnKmd3z6R
Juice,USAT21813044,0onslUNmSLDkuYaideYWir,Lizzo,56oDRnqbIiwx4mymNEv7dS,Juice,075679855572,11coWHUoRLfoplozmzNz0v,2019-01-03,"Nice Life, Atlantic",Australia,49,viral,daily,10,2019-02-01,38,1,2019-03-16,"12, 12, 12, 11, 11, 10, 12, 17, 13, 13, 15, 14, 14, 14, 19, 21, 19, 19, 21, 19, 20, 24, 19, 18, 21, 24, 27, 27, 35, 38, 40, 32, 26, 25, 26, 36, 33, 32, 37, 35, 33, 32, 41, 42, 42, 34, 39, 39, 38",https://open.spotify.com/track/0onslUNmSLDkuYaideYWir,https://open.spotify.com/album/11coWHUoRLfoplozmzNz0v,https://open.spotify.com/artist/56oDRnqbIiwx4mymNEv7dS
Breathe 2.0,CHB701800188,4aZLKRZLXeSLcFtp7H3PgI,Vincent,7ymczLNmjz6AVMGApVNWbB,Breathe 2.0,811250024216,2h02acEtvQMO2UXAJUTMAU,2018-11-29,ICONS Music,Australia,4,viral,daily,39,2019-03-16,39,8,2019-03-16,"47, 41, 47, 39",https://open.spotify.com/track/4aZLKRZLXeSLcFtp7H3PgI,https://open.spotify.com/album/2h02acEtvQMO2UXAJUTMAU,https://open.spotify.com/artist/7ymczLNmjz6AVMGApVNWbB
Boasty (feat. Idris Elba),GB5KW1900082,7cz506PyIgh2bMN90Mc8Tn,"Wiley, Stefflon Don, Sean Paul, Idris Elba","7k9T7lZlHjRAM1bb0r9Rm3, 2ExGrw6XpbtUAJHTLtUXUD, 3Isy6kedDrgPYoTS1dazA9, 0Dc2rdPzleezxhvQhQbXuS",Boasty (feat. Idris Elba),4050538472097,7JoyVaXzxpgTPjkgB8mWk3,2019-01-21,BMG Rights Management (UK),Australia,4,viral,daily,40,2019-03-16,40,3,2019-03-16,"50, 46, 43, 40",https://open.spotify.com/track/7cz506PyIgh2bMN90Mc8Tn,https://open.spotify.com/album/7JoyVaXzxpgTPjkgB8mWk3,https://open.spotify.com/artist/7k9T7lZlHjRAM1bb0r9Rm3
