Track,ISRC,Spotify Track Ids,Artist(s),Spotify Artist Id(s),Album(s),UPC,Spotify Album Ids,Release Date,Record Label,Country,Days on Chart,Chart Type,Chart Cycle,Peak Position,Peak Date,Latest Position,Position Change,Latest Charting Date,Historical Positions,Spotify Track Link,Spotify Album Link,Spotify Artist Link
Dissolve,USAT21704522,7pBrj5rt4SSxXwFKOyZfHR,Absofacto,7gAYvcQFmAruyvwGjxrSUr,Thousand Peaces,075679886712,79mdn7airf7jJw1dhV1PCI,2017-11-02,Absofacto,Ireland,7,viral,daily,23,2019-03-12,29,3,2019-03-16,"33, 26, 23, 27, 34, 32, 29",https://open.spotify.com/track/7pBrj5rt4SSxXwFKOyZfHR,https://open.spotify.com/album/79mdn7airf7jJw1dhV1PCI,https://open.spotify.com/artist/7gAYvcQFmAruyvwGjxrSUr
Options,QM6P41894589,2cytBOLpwFRX7J9URCrFIe,"NSG, Tion Wayne","31Ua7zSTJxegjyd49ujbSA, 7b79bQFziJFedJb75k6hFt",Options,193483204437,35MvbFXqp1ESDkKNqYfOIM,2018-11-29,NSG Entertainment,Ireland,61,viral,daily,3,2019-01-31,30,-5,2019-03-16,"38, 39, 29, 28, 28, 24, 25, 26, 17, 19, 20, 9, 8, 6, 4, 4, 3, 3, 3, 5, 5, 7, 7, 9, 9, 7, 8, 6, 6, 6, 6, 6, 6, 10, 9, 7, 7, 7, 8, 6, 11, 12, 16, 16, 12, 11, 12, 25, 23, 17, 19, 19, 20, 21, 22, 23, 29, 28, 23, 25, 30",https://open.spotify.com/track/2cytBOLpwFRX7J9URCrFIe,https://open.spotify.com/album/35MvbFXqp1ESDkKNqYfOIM,https://open.spotify.com/artist/31Ua7zSTJxegjyd49ujbSA
One Drink,USUM71816989,7ITXKzRU7eqcRwF2YXZj8b,Picture This,7jLSEPYCYQ5ssWU3BICqrW,MDRN LV,602577154980,1gYWVzP2slTLbR9x60wQ1w,2019-02-14,Universal Records,Ireland,10,viral,daily,22,2019-03-13,31,-4,2019-03-16,"28, 25, 23, 34, 31, 28, 22, 22, 27, 31",https://open.spotify.com/track/7ITXKzRU7eqcRwF2YXZj8b,https://open.spotify.com/album/1gYWVzP2slTLbR9x60wQ1w,https://open.spotify.com/artist/7jLSEPYCYQ5ssWU3BICqrW
Dancing With A Stranger (with Normani),GBUM71807386,6Qs4SXO9dwPj5GKvVOv8Ki,"Sam Smith, Normani","2wY79sveU1sp5g7SokKOiI, 2cWZOOzeOm4WmBJRnD5R7I",Dancing With A Stranger (with Normani),602577404139,1V9oE8bVilClrk5naqyyvL,2019-01-10,Capitol,Ireland,42,viral,daily,3,2019-02-03,32,-1,2019-03-16,"3, 3, 3, 3, 3, 3, 5, 5, 5, 4, 4, 4, 4, 4, 5, 6, 6, 6, 8, 11, 12, 15, 15, 15, 15, 15, 15, 19, 26, 27, 32, 30, 34, 35, 36, 35, 41, 38, 38, 27, 31, 32",https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,https://open.spotify.com/album/1V9oE8bVilClrk5naqyyvL,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI
Think About Us (feat. Ty Dolla $ign),GBHMU1900003,18n2GdCpsHYzkbMKPavE7Y,"Little Mix, Ty Dolla $ign","3e7awlrlDSwF3iM0WBjGMp, 7c0XG5cIJTrrAgEC3ULPiq",Think About Us (feat. Ty Dolla $ign),886447529010,0zR4eWgX7vFfZNtP4pkqYy,2019-01-24,Syco Music,Ireland,26,viral,daily,31,2019-02-21,33,2,2019-03-16,"41, 37, 37, 34, 31, 32, 32, 34, 34, 33, 34, 37, 32, 32, 33, 33, 34, 35, 36, 42, 40, 45, 47, 44, 35, 33",https://open.spotify.com/track/18n2GdCpsHYzkbMKPavE7Y,https://open.spotify.com/album/0zR4eWgX7vFfZNtP4pkqYy,https://open.spotify.com/artist/3e7awlrlDSwF3iM0WBjGMp
Mixed Personalities (feat. Kanye West),QMCE31902201,6vWEAOUSxohKxhp0K1BsxL,"YNW Melly, Kanye West","1cNDP5yjU5vjeR8qMf4grg, 5K4W6rqBFWDnAN6FQUkS6x",We All Shine,814908027393,09b9NC1oQbYaHcacgXn66k,2019-01-17,,Ireland,35,viral,daily,19,2019-02-19,34,10,2019-03-16,"29, 23, 26, 27, 24, 24, 26, 28, 23, 19, 20, 25, 23, 24, 23, 24, 28, 26, 22, 21, 23, 24, 22, 23, 22, 32, 30, 32, 29, 27, 26, 31, 43, 44, 34",https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL,https://open.spotify.com/album/09b9NC1oQbYaHcacgXn66k,https://open.spotify.com/artist/1cNDP5yjU5vjeR8qMf4grg
Pa Mí - Remix,QM9WM1900002,224EVTFiLsdQignUFLvDeH,"Dalex, Rafa Pabön, Khea, Sech, Cazzu, Feid, Lenny Tavárez","0KPX4Ucy9dk82uj4GpKesn, 11YLRSsZA3YVuQQtHXKTlz, 4m6ubhNsdwF4psNf3R8kwR, 77ziqFxp5gaInVrF2lj4ht, 6w3SkAHYPsQ1bxV7VDlG5y, 2LRoIwlKmHjgvigdNGBHNo, 1pQWsZQehhS4wavwh7Fnxd",Pa Mí (Remix),858167007932,4OyP4eAtpTHXjpVBjJvPNG,2019-02-06,Rich Music,Ireland,1,viral,daily,35,2019-03-16,35,,2019-03-16,35,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH,https://open.spotify.com/album/4OyP4eAtpTHXjpVBjJvPNG,https://open.spotify.com/artist/0KPX4Ucy9dk82uj4GpKesn
What A Time (feat. Niall Horan),USUM71900686,5WtfUKzXircvW8l5aaVZWT,"Julia Michaels, Niall Horan","0ZED1XzwlLHW4ZaG4lOT6m, 1Hsdzj7Dlq2I7tHP7501T4",Inner Monologue Part 1,602577456688,1xJ7jIK1tT0aVoJw1fPE6r,2019-01-23,Republic Records,Ireland,28,viral,daily,6,2019-02-24,36,6,2019-03-16,"21, 18, 13, 13, 12, 9, 8, 6, 10, 10, 11, 13, 18, 20, 17, 17, 16, 16, 16, 17, 23, 30, 32, 32, 29, 39, 42, 36",https://open.spotify.com/track/5WtfUKzXircvW8l5aaVZWT,https://open.spotify.com/album/1xJ7jIK1tT0aVoJw1fPE6r,https://open.spotify.com/artist/0ZED1XzwlLHW4ZaG4lOT6m
Wow.,USUM71822626,6MWtB6iiXyIwun0YzU6DFP,Post Malone,246dkjvS1zLTtiykXe5h60,Wow.,602577412813,5Dcz8PZHKuvTyjbqEPL5VM,2018-12-23,Republic Records,Ireland,61,viral,daily,1,2019-01-15,37,-3,2019-03-16,"1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 7, 6, 6, 6, 7, 8, 9, 8, 8, 7, 7, 9, 8, 12, 12, 12, 12, 14, 13, 14, 17, 17, 18, 19, 18, 22, 24, 29, 30, 28, 28, 26, 24, 25, 23, 28, 27, 26, 31, 34, 37",https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,https://open.spotify.com/album/5Dcz8PZHKuvTyjbqEPL5VM,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60
No Cap,GBARL1900167,6lW3qM6vUkfwNwD5IMkZW8,"DigDat, Loski","47rT8CoKTbr0S945AGgATQ, 5VNMclLseLzRnVhvkrqdpn",No Cap,886447563373,1jSvtJZU3gL2nNMJb1mNPT,2019-02-13,Relentless Records,Ireland,3,viral,daily,36,2019-03-14,38,3,2019-03-16,"36, 41, 38",https://open.spotify.com/track/6lW3qM6vUkfwNwD5IMkZW8,https://open.spotify.com/album/1jSvtJZU3gL2nNMJb1mNPT,https://open.spotify.com/artist/47rT8CoKTbr0S945AGgATQ
