Track,ISRC,Spotify Track Ids,Artist(s),Spotify Artist Id(s),Album(s),UPC,Spotify Album Ids,Release Date,Record Label,Country,Days on Chart,Chart Type,Chart Cycle,Peak Position,Peak Date,Latest Position,Position Change,Latest Charting Date,Historical Positions,Spotify Track Link,Spotify Album Link,Spotify Artist Link
The Rocky Road To Dublin,USNPD0800024,2AMHDHBuhSvcEhbv5IVSB1,The High Kings,6wXjctGBzxkT0ghwfQ8FC0,The High Kings,5099952134357,4EDaQ3qQ8vglXgSi5sQm2A,2008-02-25,Angel Records,New Zealand,5,viral,daily,32,2018-03-17,36,4,2019-03-16,"45, 33, 32, 40, 36",https://open.spotify.com/track/2AMHDHBuhSvcEhbv5IVSB1,https://open.spotify.com/album/4EDaQ3qQ8vglXgSi5sQm2A,https://open.spotify.com/artist/6wXjctGBzxkT0ghwfQ8FC0
365,USUM71900881,2XWjPtKdi5sucFYtVav07d,"Zedd, Katy Perry","2qxJFvFYMEDqd7ui6kSAcq, 6jJ0s89eD6GaHleKKya26X",365,602577461934,7DMS5dzWQu7R3D59CKw4TA,2019-02-13,Interscope Records,New Zealand,7,viral,daily,27,2019-03-10,37,0,2019-03-16,"27, 28, 31, 34, 34, 37, 37",https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d,https://open.spotify.com/album/7DMS5dzWQu7R3D59CKw4TA,https://open.spotify.com/artist/2qxJFvFYMEDqd7ui6kSAcq
Woke Up Late (feat. Hailee Steinfeld),QMCE31801829,3qLBz3j26AHO2jBYUQWLA6,"Drax Project, Hailee Steinfeld","6S0IvKlvPMX1RtAYtVpUV8, 5p7f24Rk5HkUZsaS3BLG5F",Woke Up Late (feat. Hailee Steinfeld),814908026082,4orebNTJrv5qLKVBOunr1N,2019-01-20,300 Entertainment,New Zealand,34,viral,daily,18,2019-02-27,38,-5,2019-03-16,"44, 48, 48, 50, 44, 40, 45, 39, 38, 35, 28, 26, 25, 21, 22, 23, 18, 23, 20, 20, 26, 25, 28, 23, 20, 22, 23, 37, 40, 38, 33, 36, 33, 38",https://open.spotify.com/track/3qLBz3j26AHO2jBYUQWLA6,https://open.spotify.com/album/4orebNTJrv5qLKVBOunr1N,https://open.spotify.com/artist/6S0IvKlvPMX1RtAYtVpUV8
Dancing With A Stranger (with Normani),GBUM71807386,6Qs4SXO9dwPj5GKvVOv8Ki,"Sam Smith, Normani","2wY79sveU1sp5g7SokKOiI, 2cWZOOzeOm4WmBJRnD5R7I",Dancing With A Stranger (with Normani),602577404139,1V9oE8bVilClrk5naqyyvL,2019-01-10,Capitol,New Zealand,42,viral,daily,2,2019-02-03,39,-8,2019-03-16,"2, 2, 2, 3, 3, 4, 4, 3, 3, 3, 4, 5, 6, 6, 10, 10, 10, 10, 10, 10, 9, 12, 12, 12, 12, 12, 13, 13, 19, 17, 18, 17, 18, 20, 19, 26, 27, 30, 32, 32, 31, 39",https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,https://open.spotify.com/album/1V9oE8bVilClrk5naqyyvL,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI
TWIT,KRA381900397,6qyz1KOlGJsKYJ4ZsRmRSD,Hwa Sa,7bmYpVgQub656uNTu6qGNQ,TWIT,8804775099342,6KL4s0Y6Ijcj0QP1Nm1EVF,2019-02-12,"RBW, Inc",New Zealand,7,viral,daily,13,2019-03-10,40,-2,2019-03-16,"13, 22, 21, 29, 42, 38, 40",https://open.spotify.com/track/6qyz1KOlGJsKYJ4ZsRmRSD,https://open.spotify.com/album/6KL4s0Y6Ijcj0QP1Nm1EVF,https://open.spotify.com/artist/7bmYpVgQub656uNTu6qGNQ
Pa Mí - Remix,QM9WM1900002,224EVTFiLsdQignUFLvDeH,"Dalex, Rafa Pabön, Khea, Sech, Cazzu, Feid, Lenny Tavárez","0KPX4Ucy9dk82uj4GpKesn, 11YLRSsZA3YVuQQtHXKTlz, 4m6ubhNsdwF4psNf3R8kwR, 77ziqFxp5gaInVrF2lj4ht, 6w3SkAHYPsQ1bxV7VDlG5y, 2LRoIwlKmHjgvigdNGBHNo, 1pQWsZQehhS4wavwh7Fnxd",Pa Mí (Remix),858167007932,4OyP4eAtpTHXjpVBjJvPNG,2019-02-06,Rich Music,New Zealand,1,viral,daily,41,2019-03-16,41,,2019-03-16,41,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH,https://open.spotify.com/album/4OyP4eAtpTHXjpVBjJvPNG,https://open.spotify.com/artist/0KPX4Ucy9dk82uj4GpKesn
Sunflower - Spider-Man: Into the Spider-Verse,USUM71814888,3KkXRkHbMCARz0aVfEt68P,"Post Malone, Swae Lee","246dkjvS1zLTtiykXe5h60, 1zNqQNIdeOUZHb8zbZRFMX",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),602577203800,35s58BRTGAEWztPo9WqCIs,2018-12-13,Universal Records,New Zealand,51,viral,daily,2,2019-01-06,42,1,2019-03-16,"2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 5, 5, 10, 11, 15, 16, 16, 16, 14, 19, 19, 22, 22, 24, 25, 31, 43, 46, 50, 43, 49, 46, 41, 42, 48, 43, 42",https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,https://open.spotify.com/album/35s58BRTGAEWztPo9WqCIs,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60
Te Matatini Ki Te Ao,TCAEA1809274,2FDP440DvFJ0zbuCAqa6Ew,"Pere Wihongi, Rob Ruha, Hamiora Tuari, Whenua Patuwai, Hamo Dell, Hinetera Stewart, Stacey Flavell, Neihana Mackey-Harrison, Jaedyn Randell, Virginia Maxwell","2R0w74LhUJhz7UAgf0gQsv, 1n1LwioOKovaGd1aqATZ6S, 7affon8N9OKLOUOZt208uG, 7aW6Q40wsC9RdYuAz1moiS, 1AIFPaBYtvqWylIbQXjZv2, 4Ac2FVd9fOgrDI8Kgr4qrN, 77oWTiVh361uh90U4XmlZP, 73NcVyQySq2MMES4s7kqzo, 47CQu7UtSZRR5fYXVCBVuh, 6KyAzhR5zYTWVmV0tm5f0o",Te Matatini Ki Te Ao,859730093079,0GvJGZKPyt8LA1BJACcfdA,2018-12-20,"Rob Ruha, Pere Wihongi, Hamiora Tuari, Jaedyn Randall, Neihana Mackey, Whenua Patuwai, Hamo Dell, Hinetera Stewart",New Zealand,35,viral,daily,3,2019-02-16,43,-11,2019-03-16,"47, 48, 49, 30, 9, 8, 6, 4, 4, 3, 5, 8, 6, 6, 5, 5, 3, 4, 4, 3, 5, 5, 5, 7, 10, 13, 16, 12, 14, 14, 21, 31, 26, 32, 43",https://open.spotify.com/track/2FDP440DvFJ0zbuCAqa6Ew,https://open.spotify.com/album/0GvJGZKPyt8LA1BJACcfdA,https://open.spotify.com/artist/2R0w74LhUJhz7UAgf0gQsv
Dancin - Krono Remix,QMLA71400326,6WkJ2OK163XXS2oARUC9JM,"Aaron Smith, Luvli","77qukKzmdI5BeMBR7WGUrN, 6dqohi36avY0M9urnyhITr",Dancin (Krono Remix),886444926584,2J2f6vGACFrRghO1Ki74BE,2014-11-09,Sony Music Entertainment,New Zealand,10,viral,daily,43,2019-02-24,44,5,2019-03-16,"48, 46, 43, 47, 48, 49, 46, 43, 49, 44",https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM,https://open.spotify.com/album/2J2f6vGACFrRghO1Ki74BE,https://open.spotify.com/artist/77qukKzmdI5BeMBR7WGUrN
Giant (with Rag'n'Bone Man),GBARL1801703,5itOtNx0WxtJmi1TQ3RuRd,"Calvin Harris, RagnBone Man","7CajNmpbOovFoOoasH2HaY, 4f9iBmdUOhQWeP7dcAn1pf",Giant (with Rag'n'Bone Man),886447461051,4PwXTHenZZx7ebgsnTM65K,2019-01-10,Columbia,New Zealand,42,viral,daily,3,2019-02-03,45,0,2019-03-16,"3, 4, 5, 5, 5, 5, 5, 5, 5, 7, 9, 9, 9, 12, 18, 18, 22, 19, 19, 20, 20, 22, 26, 26, 24, 20, 18, 19, 24, 28, 32, 33, 33, 38, 41, 44, 42, 43, 40, 46, 45, 45",https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,https://open.spotify.com/album/4PwXTHenZZx7ebgsnTM65K,https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY
Trapanese,QM24S1801171,3eZNHwRkJ8V75psXi9Utyo,"lil ricefield, seiji oda","2lNuUKrRrHRQ6cYVmrAazL, 02hku5R1SCUiTPydXMdKBp",Trapanese,843357112268,55tzHxe6FXGmENTExMN9tZ,2018-02-01,independentselfmade,New Zealand,2,viral,daily,39,2019-03-15,46,-7,2019-03-16,"39, 46",https://open.spotify.com/track/3eZNHwRkJ8V75psXi9Utyo,https://open.spotify.com/album/55tzHxe6FXGmENTExMN9tZ,https://open.spotify.com/artist/2lNuUKrRrHRQ6cYVmrAazL
Act Up,USUG11802247,4eIT2gZ0WZyJpgfmoD6saJ,City Girls,37hAfseJWi0G3Scife12Il,Girl Code,602577328282,45TU0GIOO5AxFoiOPk08i1,2018-11-15,"Quality Control Music, Motown Records, Capitol Records",New Zealand,5,viral,daily,41,2019-03-15,47,-6,2019-03-16,"47, 50, 44, 41, 47",https://open.spotify.com/track/4eIT2gZ0WZyJpgfmoD6saJ,https://open.spotify.com/album/45TU0GIOO5AxFoiOPk08i1,https://open.spotify.com/artist/37hAfseJWi0G3Scife12Il
An Irish Pub Song,AUAB01001108,1ewYoK8HL3Rflxyrjo1CAY,The Rumjacks,0w2KUuMj7dvP8dV4tzoltd,Gangs Of New Holland,602557084481,38OLdGMUHBEjvRvuWWR33f,2010-09-21,ABC (Australian Broadcas.Corp),New Zealand,1,viral,daily,48,2019-03-16,48,,2019-03-16,48,https://open.spotify.com/track/1ewYoK8HL3Rflxyrjo1CAY,https://open.spotify.com/album/38OLdGMUHBEjvRvuWWR33f,https://open.spotify.com/artist/0w2KUuMj7dvP8dV4tzoltd
Let Me Down Slowly,USAT21802284,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Narrated For You,075679858450,6jKZplJpy21R5lHaYHHjmZ,2018-11-15,,New Zealand,23,viral,daily,25,2019-02-11,49,-1,2019-03-16,"44, 46, 46, 37, 38, 38, 38, 46, 42, 33, 34, 32, 31, 29, 32, 25, 30, 25, 35, 37, 48, 48, 49",https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,https://open.spotify.com/album/6jKZplJpy21R5lHaYHHjmZ,https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov
As You Find Me - Live,AUHS01912033,4C4HCABSCJDI5LNB7WlXp8,Hillsong United,74cb3MG0x0BOnYNW1uXYnM,As You Find Me (Live),602577443121,390noiIaOOV2M043YmpzIJ,2019-02-07,Hillsong (HIL),New Zealand,9,viral,daily,36,2019-03-09,50,-6,2019-03-16,"44, 41, 36, 48, 40, 46, 47, 44, 50",https://open.spotify.com/track/4C4HCABSCJDI5LNB7WlXp8,https://open.spotify.com/album/390noiIaOOV2M043YmpzIJ,https://open.spotify.com/artist/74cb3MG0x0BOnYNW1uXYnM
